ID;Tour;Patients;Date;Debut;Duree
159;Tour3;21;10/05/2018;15;5
160;Tour4;3;10/05/2018;20;5
161;Tour1;21;11/05/2018;5;5
162;Tour2;21;11/05/2018;10;5
163;Tour3;21;11/05/2018;15;5
164;Tour4;3;11/05/2018;20;5
165;Tour1;21;12/05/2018;5;5
166;Tour2;21;12/05/2018;10;5
167;Tour3;21;12/05/2018;15;5
168;Tour4;1;12/05/2018;20;5
169;Tour1;21;14/05/2018;5;5
170;Tour2;21;14/05/2018;10;5
171;Tour3;21;14/05/2018;15;5
172;Tour4;12;14/05/2018;20;5
173;Tour1;21;15/05/2018;5;5
174;Tour2;21;15/05/2018;10;5
175;Tour3;21;15/05/2018;15;5
176;Tour4;3;15/05/2018;20;5
177;Tour1;20;16/05/2018;5;5
178;Tour2;21;16/05/2018;10;5
179;Tour3;21;16/05/2018;15;5
180;Tour4;0;16/05/2018;20;5
181;Tour1;20;17/05/2018;5;5
182;Tour2;21;17/05/2018;10;5
183;Tour3;21;17/05/2018;15;5
184;Tour4;6;17/05/2018;20;5
185;Tour1;21;18/05/2018;5;5
186;Tour2;21;18/05/2018;10;5
187;Tour3;21;18/05/2018;15;5
188;Tour4;7;18/05/2018;20;5
189;Tour1;21;19/05/2018;5;5
190;Tour2;21;19/05/2018;10;5
191;Tour3;20;19/05/2018;15;5
192;Tour4;0;19/05/2018;20;5
193;Tour1;21;21/05/2018;5;5
194;Tour2;21;21/05/2018;10;5
195;Tour3;21;21/05/2018;15;5
196;Tour4;5;21/05/2018;20;5
197;Tour1;21;22/05/2018;5;5
198;Tour2;21;22/05/2018;10;5
199;Tour3;21;22/05/2018;15;5
200;Tour4;2;22/05/2018;20;5
201;Tour1;21;23/05/2018;5;5
202;Tour2;21;23/05/2018;10;5
203;Tour3;21;23/05/2018;15;5
204;Tour4;0;23/05/2018;20;5
205;Tour1;21;24/05/2018;5;5
206;Tour2;21;24/05/2018;10;5
207;Tour3;21;24/05/2018;15;5
208;Tour4;5;24/05/2018;20;5
209;Tour1;21;25/05/2018;5;5
210;Tour2;21;25/05/2018;10;5
211;Tour3;21;25/05/2018;15;5
212;Tour4;7;25/05/2018;20;5
213;Tour1;21;26/05/2018;5;5
214;Tour2;21;26/05/2018;10;5
215;Tour3;20;26/05/2018;15;5
216;Tour4;3;26/05/2018;20;5
217;Tour1;21;28/05/2018;5;5
218;Tour2;21;28/05/2018;10;5
219;Tour3;21;28/05/2018;15;5
220;Tour4;4;28/05/2018;20;5
221;Tour1;21;29/05/2018;5;5
222;Tour2;21;29/05/2018;10;5
223;Tour3;21;29/05/2018;15;5
224;Tour4;9;29/05/2018;20;5
225;Tour1;21;30/05/2018;5;5
226;Tour2;21;30/05/2018;10;5
227;Tour3;16;30/05/2018;15;5
228;Tour4;0;30/05/2018;20;5
229;Tour1;21;31/05/2018;5;5
230;Tour2;21;31/05/2018;10;5
231;Tour3;21;31/05/2018;15;5
232;Tour4;8;31/05/2018;20;5
233;Tour1;21;01/06/2018;5;5
234;Tour2;21;01/06/2018;10;5
235;Tour3;21;01/06/2018;15;5
236;Tour4;4;01/06/2018;20;5
237;Tour1;21;02/06/2018;5;5
238;Tour2;21;02/06/2018;10;5
239;Tour3;21;02/06/2018;15;5
240;Tour4;0;02/06/2018;20;5
241;Tour1;21;04/06/2018;5;5
242;Tour2;21;04/06/2018;10;5
243;Tour3;21;04/06/2018;15;5
244;Tour4;10;04/06/2018;20;5
245;Tour1;21;05/06/2018;5;5
246;Tour2;21;05/06/2018;10;5
247;Tour3;21;05/06/2018;15;5
248;Tour4;10;05/06/2018;20;5
249;Tour1;21;06/06/2018;5;5
250;Tour2;21;06/06/2018;10;5
251;Tour3;19;06/06/2018;15;5
252;Tour4;0;06/06/2018;20;5
253;Tour1;21;07/06/2018;5;5
254;Tour2;21;07/06/2018;10;5
255;Tour3;21;07/06/2018;15;5
256;Tour4;3;07/06/2018;20;5
257;Tour1;21;08/06/2018;5;5
258;Tour2;21;08/06/2018;10;5
259;Tour3;21;08/06/2018;15;5
260;Tour4;6;08/06/2018;20;5
261;Tour1;21;09/06/2018;5;5
262;Tour2;21;09/06/2018;10;5
263;Tour3;15;09/06/2018;15;5
264;Tour4;0;09/06/2018;20;5
265;Tour1;21;11/06/2018;5;5
266;Tour2;21;11/06/2018;10;5
267;Tour3;21;11/06/2018;15;5
268;Tour4;13;11/06/2018;20;5
269;Tour1;21;12/06/2018;5;5
270;Tour2;21;12/06/2018;10;5
271;Tour3;21;12/06/2018;15;5
272;Tour4;9;12/06/2018;20;5
273;Tour1;21;13/06/2018;5;5
274;Tour2;21;13/06/2018;10;5
275;Tour3;11;13/06/2018;15;5
276;Tour4;0;13/06/2018;20;5
277;Tour1;21;14/06/2018;5;5
278;Tour2;21;14/06/2018;10;5
279;Tour3;21;14/06/2018;15;5
280;Tour4;7;14/06/2018;20;5
281;Tour1;21;15/06/2018;5;5
282;Tour2;21;15/06/2018;10;5
283;Tour3;21;15/06/2018;15;5
284;Tour4;13;15/06/2018;20;5
285;Tour1;21;16/06/2018;5;5
286;Tour2;21;16/06/2018;10;5
287;Tour3;13;16/06/2018;15;5
288;Tour4;0;16/06/2018;20;5
289;Tour1;21;18/06/2018;5;5
290;Tour2;21;18/06/2018;10;5
291;Tour3;21;18/06/2018;15;5
292;Tour4;10;18/06/2018;20;5
293;Tour1;21;19/06/2018;5;5
294;Tour2;21;19/06/2018;10;5
295;Tour3;21;19/06/2018;15;5
296;Tour4;12;19/06/2018;20;5
297;Tour1;21;20/06/2018;5;5
298;Tour2;21;20/06/2018;10;5
299;Tour3;15;20/06/2018;15;5
300;Tour4;0;20/06/2018;20;5
301;Tour1;21;21/06/2018;5;5
302;Tour2;21;21/06/2018;10;5
303;Tour3;21;21/06/2018;15;5
304;Tour4;6;21/06/2018;20;5
305;Tour1;21;22/06/2018;5;5
306;Tour2;21;22/06/2018;10;5
307;Tour3;21;22/06/2018;15;5
308;Tour4;10;22/06/2018;20;5
309;Tour1;21;23/06/2018;5;5
310;Tour2;21;23/06/2018;10;5
311;Tour3;17;23/06/2018;15;5
312;Tour4;0;23/06/2018;20;5
313;Tour1;21;25/06/2018;5;5
314;Tour2;21;25/06/2018;10;5
315;Tour3;21;25/06/2018;15;5
316;Tour4;8;25/06/2018;20;5
317;Tour1;21;26/06/2018;5;5
318;Tour2;21;26/06/2018;10;5
319;Tour3;21;26/06/2018;15;5
320;Tour4;9;26/06/2018;20;5
321;Tour1;21;27/06/2018;5;5
322;Tour2;21;27/06/2018;10;5
323;Tour3;21;27/06/2018;15;5
324;Tour4;3;27/06/2018;20;5
325;Tour1;21;28/06/2018;5;5
326;Tour2;5;28/06/2018;10;5
327;Tour3;0;28/06/2018;15;5
328;Tour4;0;28/06/2018;20;5
329;Tour1;21;29/06/2018;5;5
330;Tour2;9;29/06/2018;10;5
331;Tour3;0;29/06/2018;15;5
332;Tour4;0;29/06/2018;20;5
333;Tour1;20;30/06/2018;5;5
334;Tour2;0;30/06/2018;10;5
335;Tour3;0;30/06/2018;15;5
336;Tour4;0;30/06/2018;20;5
337;Tour1;21;02/07/2018;5;5
338;Tour2;21;02/07/2018;10;5
339;Tour3;21;02/07/2018;15;5
340;Tour4;12;02/07/2018;20;5
341;Tour1;21;03/07/2018;5;5
342;Tour2;21;03/07/2018;10;5
343;Tour3;21;03/07/2018;15;5
344;Tour4;9;03/07/2018;20;5
345;Tour1;21;04/07/2018;5;5
346;Tour2;21;04/07/2018;10;5
347;Tour3;21;04/07/2018;15;5
348;Tour4;0;04/07/2018;20;5
349;Tour1;21;05/07/2018;5;5
350;Tour2;21;05/07/2018;10;5
351;Tour3;21;05/07/2018;15;5
352;Tour4;8;05/07/2018;20;5
353;Tour1;21;06/07/2018;5;5
354;Tour2;21;06/07/2018;10;5
355;Tour3;21;06/07/2018;15;5
356;Tour4;7;06/07/2018;20;5
357;Tour1;21;07/07/2018;5;5
358;Tour2;21;07/07/2018;10;5
359;Tour3;21;07/07/2018;15;5
360;Tour4;0;07/07/2018;20;5
361;Tour1;21;16/07/2018;5;5
362;Tour2;21;16/07/2018;10;5
363;Tour3;21;16/07/2018;15;5
364;Tour4;7;16/07/2018;20;5
365;Tour1;21;17/07/2018;5;5
366;Tour2;21;17/07/2018;10;5
367;Tour3;21;17/07/2018;15;5
368;Tour4;9;17/07/2018;20;5
369;Tour1;21;18/07/2018;5;5
370;Tour2;21;18/07/2018;10;5
371;Tour3;21;18/07/2018;15;5
372;Tour4;2;18/07/2018;20;5
373;Tour1;21;19/07/2018;5;5
374;Tour2;21;19/07/2018;10;5
375;Tour3;21;19/07/2018;15;5
376;Tour4;8;19/07/2018;20;5
377;Tour1;21;20/07/2018;5;5
378;Tour2;21;20/07/2018;10;5
379;Tour3;21;20/07/2018;15;5
380;Tour4;12;20/07/2018;20;5
381;Tour1;21;21/07/2018;5;5
382;Tour2;21;21/07/2018;10;5
383;Tour3;16;21/07/2018;15;5
384;Tour4;0;21/07/2018;20;5
385;Tour1;21;23/07/2018;5;5
386;Tour2;21;23/07/2018;10;5
387;Tour3;21;23/07/2018;15;5
388;Tour4;11;23/07/2018;20;5
389;Tour1;21;24/07/2018;5;5
390;Tour2;21;24/07/2018;10;5
391;Tour3;21;24/07/2018;15;5
392;Tour4;11;24/07/2018;20;5
393;Tour1;21;25/07/2018;5;5
394;Tour2;21;25/07/2018;10;5
395;Tour3;21;25/07/2018;15;5
396;Tour4;6;25/07/2018;20;5
397;Tour1;21;26/07/2018;5;5
398;Tour2;21;26/07/2018;10;5
399;Tour3;21;26/07/2018;15;5
400;Tour4;6;26/07/2018;20;5
401;Tour1;21;27/07/2018;5;5
402;Tour2;21;27/07/2018;10;5
403;Tour3;21;27/07/2018;15;5
404;Tour4;8;27/07/2018;20;5
405;Tour1;21;28/07/2018;5;5
406;Tour2;21;28/07/2018;10;5
407;Tour3;19;28/07/2018;15;5
408;Tour4;0;28/07/2018;20;5
409;Tour1;21;30/07/2018;5;5
410;Tour2;21;30/07/2018;10;5
411;Tour3;21;30/07/2018;15;5
412;Tour4;9;30/07/2018;20;5
413;Tour1;21;31/07/2018;5;5
414;Tour2;21;31/07/2018;10;5
415;Tour3;21;31/07/2018;15;5
416;Tour4;11;31/07/2018;20;5
417;Tour1;21;01/08/2018;5;5
418;Tour2;21;01/08/2018;10;5
419;Tour3;21;01/08/2018;15;5
420;Tour4;6;01/08/2018;20;5
421;Tour1;21;02/08/2018;5;5
422;Tour2;21;02/08/2018;10;5
423;Tour3;21;02/08/2018;15;5
424;Tour4;7;02/08/2018;20;5
425;Tour1;21;03/08/2018;5;5
426;Tour2;21;03/08/2018;10;5
427;Tour3;21;03/08/2018;15;5
428;Tour4;6;03/08/2018;20;5
429;Tour1;21;04/08/2018;5;5
430;Tour2;21;04/08/2018;10;5
431;Tour3;21;04/08/2018;15;5
432;Tour4;5;04/08/2018;20;5
433;Tour1;21;06/08/2018;5;5
434;Tour2;21;06/08/2018;10;5
435;Tour3;21;06/08/2018;15;5
436;Tour4;7;06/08/2018;20;5
437;Tour1;21;07/08/2018;5;5
438;Tour2;21;07/08/2018;10;5
439;Tour3;21;07/08/2018;15;5
440;Tour4;15;07/08/2018;20;5
441;Tour1;21;08/08/2018;5;5
442;Tour2;21;08/08/2018;10;5
443;Tour3;21;08/08/2018;15;5
444;Tour4;2;08/08/2018;20;5
445;Tour1;21;09/08/2018;5;5
446;Tour2;21;09/08/2018;10;5
447;Tour3;21;09/08/2018;15;5
448;Tour4;8;09/08/2018;20;5
449;Tour1;21;10/08/2018;5;5
450;Tour2;21;10/08/2018;10;5
451;Tour3;21;10/08/2018;15;5
452;Tour4;9;10/08/2018;20;5
453;Tour1;21;11/08/2018;5;5
454;Tour2;21;11/08/2018;10;5
455;Tour3;14;11/08/2018;15;5
456;Tour4;0;11/08/2018;20;5
457;Tour1;21;13/08/2018;5;5
458;Tour2;21;13/08/2018;10;5
459;Tour3;21;13/08/2018;15;5
460;Tour4;15;13/08/2018;20;5
461;Tour1;21;14/08/2018;5;5
462;Tour2;21;14/08/2018;10;5
463;Tour3;21;14/08/2018;15;5
464;Tour4;7;14/08/2018;20;5
465;Tour1;21;15/08/2018;5;5
466;Tour2;21;15/08/2018;10;5
467;Tour3;21;15/08/2018;15;5
468;Tour4;3;15/08/2018;20;5
469;Tour1;21;16/08/2018;5;5
470;Tour2;21;16/08/2018;10;5
471;Tour3;21;16/08/2018;15;5
472;Tour4;7;16/08/2018;20;5
473;Tour1;21;17/08/2018;5;5
474;Tour2;21;17/08/2018;10;5
475;Tour3;21;17/08/2018;15;5
476;Tour4;5;17/08/2018;20;5
477;Tour1;21;18/08/2018;5;5
478;Tour2;21;18/08/2018;10;5
479;Tour3;21;18/08/2018;15;5
480;Tour4;4;18/08/2018;20;5
481;Tour1;21;20/08/2018;5;5
482;Tour2;21;20/08/2018;10;5
483;Tour3;21;20/08/2018;15;5
484;Tour4;7;20/08/2018;20;5
485;Tour1;21;21/08/2018;5;5
486;Tour2;21;21/08/2018;10;5
487;Tour3;21;21/08/2018;15;5
488;Tour4;6;21/08/2018;20;5
489;Tour1;21;22/08/2018;5;5
490;Tour2;21;22/08/2018;10;5
491;Tour3;21;22/08/2018;15;5
492;Tour4;2;22/08/2018;20;5
493;Tour1;21;23/08/2018;5;5
494;Tour2;21;23/08/2018;10;5
495;Tour3;21;23/08/2018;15;5
496;Tour4;5;23/08/2018;20;5
497;Tour1;21;24/08/2018;5;5
498;Tour2;21;24/08/2018;10;5
499;Tour3;21;24/08/2018;15;5
500;Tour4;10;24/08/2018;20;5
501;Tour1;21;25/08/2018;5;5
502;Tour2;21;25/08/2018;10;5
503;Tour3;21;25/08/2018;15;5
504;Tour4;3;25/08/2018;20;5
505;Tour1;21;27/08/2018;5;5
506;Tour2;21;27/08/2018;10;5
507;Tour3;21;27/08/2018;15;5
508;Tour4;11;27/08/2018;20;5
509;Tour1;21;28/08/2018;5;5
510;Tour2;21;28/08/2018;10;5
511;Tour3;21;28/08/2018;15;5
512;Tour4;10;28/08/2018;20;5
513;Tour1;21;29/08/2018;5;5
514;Tour2;21;29/08/2018;10;5
515;Tour3;21;29/08/2018;15;5
516;Tour4;0;29/08/2018;20;5
517;Tour1;21;30/08/2018;5;5
518;Tour2;21;30/08/2018;10;5
519;Tour3;21;30/08/2018;15;5
520;Tour4;11;30/08/2018;20;5
521;Tour1;21;31/08/2018;5;5
522;Tour2;21;31/08/2018;10;5
523;Tour3;21;31/08/2018;15;5
524;Tour4;3;31/08/2018;20;5
525;Tour1;21;01/09/2018;5;5
526;Tour2;21;01/09/2018;10;5
527;Tour3;12;01/09/2018;15;5
528;Tour4;5;01/09/2018;20;5
529;Tour1;21;03/09/2018;5;5
530;Tour2;21;03/09/2018;10;5
531;Tour3;21;03/09/2018;15;5
532;Tour4;12;03/09/2018;20;5
533;Tour1;21;04/09/2018;5;5
534;Tour2;21;04/09/2018;10;5
535;Tour3;21;04/09/2018;15;5
536;Tour4;7;04/09/2018;20;5
537;Tour1;21;05/09/2018;5;5
538;Tour2;21;05/09/2018;10;5
539;Tour3;21;05/09/2018;15;5
540;Tour4;6;05/09/2018;20;5
541;Tour1;21;06/09/2018;5;5
542;Tour2;21;06/09/2018;10;5
543;Tour3;21;06/09/2018;15;5
544;Tour4;15;06/09/2018;20;5
545;Tour1;21;07/09/2018;5;5
546;Tour2;21;07/09/2018;10;5
547;Tour3;21;07/09/2018;15;5
548;Tour4;2;07/09/2018;20;5
549;Tour1;21;08/09/2018;5;5
550;Tour2;21;08/09/2018;10;5
551;Tour3;21;08/09/2018;15;5
552;Tour4;6;08/09/2018;20;5
553;Tour1;21;10/09/2018;5;5
554;Tour2;21;10/09/2018;10;5
555;Tour3;21;10/09/2018;15;5
556;Tour4;12;10/09/2018;20;5
557;Tour1;21;11/09/2018;5;5
558;Tour2;21;11/09/2018;10;5
559;Tour3;21;11/09/2018;15;5
560;Tour4;10;11/09/2018;20;5
561;Tour1;21;12/09/2018;5;5
562;Tour2;21;12/09/2018;10;5
563;Tour3;21;12/09/2018;15;5
564;Tour4;0;12/09/2018;20;5
565;Tour1;21;13/09/2018;5;5
566;Tour2;21;13/09/2018;10;5
567;Tour3;21;13/09/2018;15;5
568;Tour4;12;13/09/2018;20;5
569;Tour1;21;14/09/2018;5;5
570;Tour2;21;14/09/2018;10;5
571;Tour3;21;14/09/2018;15;5
572;Tour4;11;14/09/2018;20;5
573;Tour1;21;15/09/2018;5;5
574;Tour2;21;15/09/2018;10;5
575;Tour3;21;15/09/2018;15;5
576;Tour4;4;15/09/2018;20;5
577;Tour1;21;16/09/2018;5;5
578;Tour2;21;16/09/2018;10;5
579;Tour3;21;16/09/2018;15;5
580;Tour4;16;16/09/2018;20;5
581;Tour1;21;17/09/2018;5;5
582;Tour2;21;17/09/2018;10;5
583;Tour3;21;17/09/2018;15;5
584;Tour4;14;17/09/2018;20;5
585;Tour1;21;18/09/2018;5;5
586;Tour2;21;18/09/2018;10;5
587;Tour3;21;18/09/2018;15;5
588;Tour4;0;18/09/2018;20;5
589;Tour1;21;19/09/2018;5;5
590;Tour2;21;19/09/2018;10;5
591;Tour3;21;19/09/2018;15;5
592;Tour4;10;19/09/2018;20;5
593;Tour1;21;20/09/2018;5;5
594;Tour2;21;20/09/2018;10;5
595;Tour3;21;20/09/2018;15;5
596;Tour4;9;20/09/2018;20;5
597;Tour1;21;21/09/2018;5;5
598;Tour2;21;21/09/2018;10;5
599;Tour3;21;21/09/2018;15;5
600;Tour4;5;21/09/2018;20;5
601;Tour1;21;24/09/2018;5;5
602;Tour2;21;24/09/2018;10;5
603;Tour3;21;24/09/2018;15;5
604;Tour4;10;24/09/2018;20;5
605;Tour1;21;25/09/2018;5;5
606;Tour2;21;25/09/2018;10;5
607;Tour3;21;25/09/2018;15;5
608;Tour4;10;25/09/2018;20;5
609;Tour1;21;26/09/2018;5;5
610;Tour2;21;26/09/2018;10;5
611;Tour3;21;26/09/2018;15;5
