ID;Tour;Patients;Date;Debut;Duree
697;Tour1;21;22/10/2018;5;5
698;Tour2;21;22/10/2018;10;5
699;Tour3;21;22/10/2018;15;5
700;Tour4;10;22/10/2018;20;5
701;Tour1;21;23/10/2018;5;5
702;Tour2;21;23/10/2018;10;5
703;Tour3;21;23/10/2018;15;5
704;Tour4;0;23/10/2018;20;5
705;Tour1;21;24/10/2018;5;5
706;Tour2;21;24/10/2018;10;5
707;Tour3;20;24/10/2018;15;5
708;Tour4;0;24/10/2018;20;5
709;Tour1;21;25/10/2018;5;5
710;Tour2;21;25/10/2018;10;5
711;Tour3;21;25/10/2018;15;5
712;Tour4;6;25/10/2018;20;5
713;Tour1;21;26/10/2018;5;5
714;Tour2;21;26/10/2018;10;5
715;Tour3;21;26/10/2018;15;5
716;Tour4;9;26/10/2018;20;5
717;Tour1;21;27/10/2018;5;5
718;Tour2;21;27/10/2018;10;5
719;Tour3;21;27/10/2018;15;5
720;Tour4;4;27/10/2018;20;5
721;Tour1;21;29/10/2018;5;5
722;Tour2;21;29/10/2018;10;5
723;Tour3;21;29/10/2018;15;5
724;Tour4;10;29/10/2018;20;5
725;Tour1;21;30/10/2018;5;5
726;Tour2;21;30/10/2018;10;5
727;Tour3;21;30/10/2018;15;5
728;Tour4;8;30/10/2018;20;5
729;Tour1;21;31/10/2018;5;5
730;Tour2;21;31/10/2018;10;5
731;Tour3;19;31/10/2018;15;5
732;Tour4;0;31/10/2018;20;5
733;Tour1;21;01/11/2018;5;5
734;Tour2;21;01/11/2018;10;5
735;Tour3;21;01/11/2018;15;5
736;Tour4;6;01/11/2018;20;5
737;Tour1;21;02/11/2018;5;5
738;Tour2;21;02/11/2018;10;5
739;Tour3;21;02/11/2018;15;5
740;Tour4;4;02/11/2018;20;5
741;Tour1;21;03/11/2018;5;5
742;Tour2;21;03/11/2018;10;5
743;Tour3;21;03/11/2018;15;5
744;Tour4;1;03/11/2018;20;5
745;Tour1;21;05/11/2018;5;5
746;Tour2;21;05/11/2018;10;5
747;Tour3;21;05/11/2018;15;5
748;Tour4;12;05/11/2018;20;5
749;Tour1;21;06/11/2018;5;5
750;Tour2;21;06/11/2018;10;5
751;Tour3;21;06/11/2018;15;5
752;Tour4;3;06/11/2018;20;5
753;Tour1;21;07/11/2018;5;5
754;Tour2;21;07/11/2018;10;5
755;Tour3;21;07/11/2018;15;5
756;Tour4;1;07/11/2018;20;5
757;Tour1;21;08/11/2018;5;5
758;Tour2;21;08/11/2018;10;5
759;Tour3;21;08/11/2018;15;5
760;Tour4;6;08/11/2018;20;5
761;Tour1;21;09/11/2018;5;5
762;Tour2;21;09/11/2018;10;5
763;Tour3;20;09/11/2018;15;5
764;Tour4;0;09/11/2018;20;5
765;Tour1;21;10/11/2018;5;5
766;Tour2;21;10/11/2018;10;5
767;Tour3;21;10/11/2018;15;5
768;Tour4;4;10/11/2018;20;5
769;Tour1;21;12/11/2018;5;5
770;Tour2;21;12/11/2018;10;5
771;Tour3;21;12/11/2018;15;5
772;Tour4;9;12/11/2018;20;5
773;Tour1;21;13/11/2018;5;5
774;Tour2;21;13/11/2018;10;5
775;Tour3;21;13/11/2018;15;5
776;Tour4;5;13/11/2018;20;5
777;Tour1;21;14/11/2018;5;5
778;Tour2;21;14/11/2018;10;5
779;Tour3;21;14/11/2018;15;5
780;Tour4;2;14/11/2018;20;5
781;Tour1;21;15/11/2018;5;5
782;Tour2;21;15/11/2018;10;5
783;Tour3;21;15/11/2018;15;5
784;Tour4;8;15/11/2018;20;5
785;Tour1;21;16/11/2018;5;5
786;Tour2;21;16/11/2018;10;5
787;Tour3;21;16/11/2018;15;5
788;Tour4;6;16/11/2018;20;5
789;Tour1;21;17/11/2018;5;5
790;Tour2;21;17/11/2018;10;5
791;Tour3;20;17/11/2018;15;5
792;Tour4;3;17/11/2018;20;5
793;Tour1;21;19/11/2018;5;5
794;Tour2;21;19/11/2018;10;5
795;Tour3;21;19/11/2018;15;5
796;Tour4;8;19/11/2018;20;5
797;Tour1;21;20/11/2018;5;5
798;Tour2;21;20/11/2018;10;5
799;Tour3;21;20/11/2018;15;5
800;Tour4;8;20/11/2018;20;5
801;Tour1;21;21/11/2018;5;5
802;Tour2;21;21/11/2018;10;5
803;Tour3;21;21/11/2018;15;5
804;Tour4;1;21/11/2018;20;5
805;Tour1;21;22/11/2018;5;5
806;Tour2;21;22/11/2018;10;5
807;Tour3;21;22/11/2018;15;5
808;Tour4;11;22/11/2018;20;5
809;Tour1;21;23/11/2018;5;5
810;Tour2;21;23/11/2018;10;5
811;Tour3;21;23/11/2018;15;5
812;Tour4;5;23/11/2018;20;5
813;Tour1;21;24/11/2018;5;5
814;Tour2;21;24/11/2018;10;5
815;Tour3;21;24/11/2018;15;5
816;Tour4;7;24/11/2018;20;5
817;Tour1;21;26/11/2018;5;5
818;Tour2;21;26/11/2018;10;5
819;Tour3;21;26/11/2018;15;5
820;Tour4;11;26/11/2018;20;5
821;Tour1;21;27/11/2018;5;5
822;Tour2;21;27/11/2018;10;5
823;Tour3;21;27/11/2018;15;5
824;Tour4;7;27/11/2018;20;5
825;Tour1;21;28/11/2018;5;5
826;Tour2;21;28/11/2018;10;5
827;Tour3;21;28/11/2018;15;5
828;Tour4;0;28/11/2018;20;5
829;Tour1;21;29/11/2018;5;5
830;Tour2;21;29/11/2018;10;5
831;Tour3;21;29/11/2018;15;5
832;Tour4;6;29/11/2018;20;5
833;Tour1;21;30/11/2018;5;5
834;Tour2;21;30/11/2018;10;5
835;Tour3;21;30/11/2018;15;5
836;Tour4;5;30/11/2018;20;5
837;Tour1;21;01/12/2018;5;5
838;Tour2;21;01/12/2018;10;5
839;Tour3;21;01/12/2018;15;5
840;Tour4;3;01/12/2018;20;5
841;Tour1;21;03/12/2018;5;5
842;Tour2;21;03/12/2018;10;5
843;Tour3;21;03/12/2018;15;5
844;Tour4;10;03/12/2018;20;5
845;Tour1;21;04/12/2018;5;5
846;Tour2;21;04/12/2018;10;5
847;Tour3;21;04/12/2018;15;5
848;Tour4;5;04/12/2018;20;5
849;Tour1;21;05/12/2018;5;5
850;Tour2;21;05/12/2018;10;5
851;Tour3;21;05/12/2018;15;5
852;Tour4;4;05/12/2018;20;5
853;Tour1;21;06/12/2018;5;5
854;Tour2;21;06/12/2018;10;5
855;Tour3;21;06/12/2018;15;5
856;Tour4;2;06/12/2018;20;5
857;Tour1;21;07/12/2018;5;5
858;Tour2;21;07/12/2018;10;5
859;Tour3;21;07/12/2018;15;5
860;Tour4;7;07/12/2018;20;5
861;Tour1;21;08/12/2018;5;5
862;Tour2;21;08/12/2018;10;5
863;Tour3;21;08/12/2018;15;5
864;Tour4;1;08/12/2018;20;5
865;Tour1;21;10/12/2018;5;5
866;Tour2;21;10/12/2018;10;5
867;Tour3;21;10/12/2018;15;5
868;Tour4;12;10/12/2018;20;5
869;Tour1;21;11/12/2018;5;5
870;Tour2;21;11/12/2018;10;5
871;Tour3;21;11/12/2018;15;5
872;Tour4;7;11/12/2018;20;5
873;Tour1;21;12/12/2018;5;5
874;Tour2;21;12/12/2018;10;5
875;Tour3;19;12/12/2018;15;5
876;Tour4;0;12/12/2018;20;5
877;Tour1;21;13/12/2018;5;5
878;Tour2;21;13/12/2018;10;5
879;Tour3;21;13/12/2018;15;5
880;Tour4;8;13/12/2018;20;5
881;Tour1;21;14/12/2018;5;5
882;Tour2;21;14/12/2018;10;5
883;Tour3;21;14/12/2018;15;5
884;Tour4;5;14/12/2018;20;5
885;Tour1;21;15/12/2018;5;5
886;Tour2;21;15/12/2018;10;5
887;Tour3;19;15/12/2018;15;5
888;Tour4;0;15/12/2018;20;5
889;Tour1;21;16/12/2018;5;5
890;Tour2;21;16/12/2018;10;5
891;Tour3;21;16/12/2018;15;5
892;Tour4;11;16/12/2018;20;5
893;Tour1;21;17/12/2018;5;5
894;Tour2;21;17/12/2018;10;5
895;Tour3;21;17/12/2018;15;5
896;Tour4;9;17/12/2018;20;5
897;Tour1;21;18/12/2018;5;5
898;Tour2;21;18/12/2018;10;5
899;Tour3;21;18/12/2018;15;5
900;Tour4;10;18/12/2018;20;5
901;Tour1;21;19/12/2018;5;5
902;Tour2;21;19/12/2018;10;5
903;Tour3;21;19/12/2018;15;5
904;Tour4;3;19/12/2018;20;5
905;Tour1;21;20/12/2018;5;5
906;Tour2;21;20/12/2018;10;5
907;Tour3;21;20/12/2018;15;5
908;Tour4;0;20/12/2018;20;5
909;Tour1;21;21/12/2018;5;5
910;Tour2;21;21/12/2018;10;5
911;Tour3;21;21/12/2018;15;5
912;Tour4;1;21/12/2018;20;5
913;Tour1;21;23/12/2018;5;5
914;Tour2;21;23/12/2018;10;5
915;Tour3;21;23/12/2018;15;5
916;Tour4;9;23/12/2018;20;5
917;Tour1;21;24/12/2018;5;5
918;Tour2;21;24/12/2018;10;5
919;Tour3;21;24/12/2018;15;5
920;Tour4;6;24/12/2018;20;5
921;Tour1;21;25/12/2018;5;5
922;Tour2;21;25/12/2018;10;5
923;Tour3;18;25/12/2018;15;5
924;Tour4;0;25/12/2018;20;5
925;Tour1;21;26/12/2018;5;5
926;Tour2;21;26/12/2018;10;5
927;Tour3;21;26/12/2018;15;5
928;Tour4;11;26/12/2018;20;5
929;Tour1;21;27/12/2018;5;5
930;Tour2;21;27/12/2018;10;5
931;Tour3;21;27/12/2018;15;5
932;Tour4;2;27/12/2018;20;5
933;Tour1;21;28/12/2018;5;5
934;Tour2;21;28/12/2018;10;5
935;Tour3;22;28/12/2018;15;5
936;Tour4;0;28/12/2018;20;5
937;Tour1;21;31/12/2018;5;5
938;Tour2;21;31/12/2018;10;5
939;Tour3;21;31/12/2018;15;5
940;Tour4;5;31/12/2018;20;5
941;Tour1;21;01/01/2019;5;5
942;Tour2;21;01/01/2019;10;5
943;Tour3;21;01/01/2019;15;5
944;Tour4;2;01/01/2019;20;5
945;Tour1;21;02/01/2019;5;5
946;Tour2;21;02/01/2019;10;5
947;Tour3;21;02/01/2019;15;5
948;Tour4;3;02/01/2019;20;5
949;Tour1;21;03/01/2019;5;5
950;Tour2;21;03/01/2019;10;5
951;Tour3;21;03/01/2019;15;5
952;Tour4;7;03/01/2019;20;5
953;Tour1;21;04/01/2019;5;5
954;Tour2;21;04/01/2019;10;5
955;Tour3;21;04/01/2019;15;5
956;Tour4;1;04/01/2019;20;5
957;Tour1;21;05/01/2019;5;5
958;Tour2;21;05/01/2019;10;5
959;Tour3;21;05/01/2019;15;5
960;Tour4;4;05/01/2019;20;5
961;Tour1;21;07/01/2019;5;5
962;Tour2;21;07/01/2019;10;5
963;Tour3;21;07/01/2019;15;5
964;Tour4;10;07/01/2019;20;5
965;Tour1;21;08/01/2019;5;5
966;Tour2;21;08/01/2019;10;5
967;Tour3;21;08/01/2019;15;5
968;Tour4;6;08/01/2019;20;5
969;Tour1;21;09/01/2019;5;5
970;Tour2;21;09/01/2019;10;5
971;Tour3;21;09/01/2019;15;5
972;Tour4;4;09/01/2019;20;5
973;Tour1;21;10/01/2019;5;5
974;Tour2;21;10/01/2019;10;5
975;Tour3;21;10/01/2019;15;5
976;Tour4;8;10/01/2019;20;5
977;Tour1;21;11/01/2019;5;5
978;Tour2;21;11/01/2019;10;5
979;Tour3;21;11/01/2019;15;5
980;Tour4;3;11/01/2019;20;5
981;Tour1;21;12/01/2019;5;5
982;Tour2;21;12/01/2019;10;5
983;Tour3;21;12/01/2019;15;5
984;Tour4;5;12/01/2019;20;5
985;Tour1;21;14/01/2019;5;5
986;Tour2;21;14/01/2019;10;5
987;Tour3;21;14/01/2019;15;5
988;Tour4;10;14/01/2019;20;5
989;Tour1;21;15/01/2019;5;5
990;Tour1;21;15/01/2019;10;5
991;Tour2;21;15/01/2019;15;5
992;Tour2;21;15/01/2019;20;5
993;Tour3;21;15/01/2019;5;5
994;Tour3;21;15/01/2019;10;5
995;Tour4;6;15/01/2019;15;5
996;Tour4;9;15/01/2019;20;5
997;Tour1;21;16/01/2019;5;5
998;Tour1;21;16/01/2019;10;5
999;Tour2;21;16/01/2019;15;5
1000;Tour2;21;16/01/2019;20;5
1001;Tour3;21;16/01/2019;5;5
1002;Tour3;21;16/01/2019;10;5
1003;Tour4;5;16/01/2019;15;5
1004;Tour4;0;16/01/2019;20;5
1005;Tour1;21;17/01/2019;5;5
1006;Tour1;21;17/01/2019;10;5
1007;Tour2;21;17/01/2019;15;5
1008;Tour2;21;17/01/2019;20;5
1009;Tour3;19;17/01/2019;5;5
1010;Tour3;21;17/01/2019;10;5
1011;Tour4;0;17/01/2019;15;5
1012;Tour4;7;17/01/2019;20;5
1013;Tour1;21;18/01/2019;5;5
1014;Tour1;21;18/01/2019;10;5
1015;Tour2;21;18/01/2019;15;5
1016;Tour2;21;18/01/2019;20;5
1017;Tour3;21;18/01/2019;5;5
1018;Tour3;19;18/01/2019;10;5
1019;Tour4;3;18/01/2019;15;5
1020;Tour4;0;18/01/2019;20;5
1021;Tour1;21;19/01/2019;5;5
1022;Tour1;21;19/01/2019;10;5
1023;Tour2;21;19/01/2019;15;5
1024;Tour2;21;19/01/2019;20;5
1025;Tour3;21;19/01/2019;5;5
1026;Tour3;21;19/01/2019;10;5
1027;Tour4;1;19/01/2019;15;5
1028;Tour4;10;19/01/2019;20;5
1029;Tour1;21;20/01/2019;5;5
1030;Tour2;21;20/01/2019;10;5
1031;Tour3;21;20/01/2019;15;5
1032;Tour4;6;20/01/2019;20;5
1033;Tour1;21;28/01/2019;5;5
1034;Tour2;21;28/01/2019;10;5
1035;Tour3;21;28/01/2019;15;5
1036;Tour4;13;28/01/2019;20;5
1037;Tour1;21;29/01/2019;5;5
1038;Tour2;21;29/01/2019;10;5
1039;Tour3;21;29/01/2019;15;5
1040;Tour4;1;29/01/2019;20;5
1041;Tour1;21;30/01/2019;5;5
1042;Tour2;21;30/01/2019;10;5
1043;Tour3;15;30/01/2019;15;5
1044;Tour4;0;30/01/2019;20;5
1045;Tour1;21;31/01/2019;5;5
1046;Tour2;21;31/01/2019;10;5
1047;Tour3;21;31/01/2019;15;5
1048;Tour4;10;31/01/2019;20;5
1049;Tour1;21;01/02/2019;5;5
1050;Tour2;21;01/02/2019;10;5
1051;Tour3;20;01/02/2019;15;5
1052;Tour4;0;01/02/2019;20;5
1053;Tour1;21;02/02/2019;5;5
1054;Tour2;21;02/02/2019;10;5
1055;Tour3;20;02/02/2019;15;5
1056;Tour4;0;02/02/2019;20;5
1057;Tour1;21;04/02/2019;5;5
1058;Tour2;21;04/02/2019;10;5
1059;Tour3;21;04/02/2019;15;5
1060;Tour4;14;04/02/2019;20;5
1061;Tour1;21;05/02/2019;5;5
1062;Tour2;21;05/02/2019;10;5
1063;Tour3;21;05/02/2019;15;5
1064;Tour4;1;05/02/2019;20;5
1065;Tour1;21;06/02/2019;5;5
1066;Tour2;21;06/02/2019;10;5
1067;Tour3;19;06/02/2019;15;5
1068;Tour4;0;06/02/2019;20;5
1069;Tour1;21;07/02/2019;5;5
1070;Tour2;21;07/02/2019;10;5
1071;Tour3;21;07/02/2019;15;5
1072;Tour4;15;07/02/2019;20;5
1073;Tour1;21;08/02/2019;5;5
1074;Tour2;21;08/02/2019;10;5
1075;Tour3;21;08/02/2019;15;5
1076;Tour4;1;08/02/2019;20;5
1077;Tour1;21;09/02/2019;5;5
1078;Tour2;21;09/02/2019;10;5
1079;Tour3;21;09/02/2019;15;5
1080;Tour4;4;09/02/2019;20;5
1081;Tour1;21;11/02/2019;5;5
1082;Tour2;21;11/02/2019;10;5
1083;Tour3;21;11/02/2019;15;5
1084;Tour4;11;11/02/2019;20;5
1085;Tour1;21;12/02/2019;5;5
1086;Tour2;21;12/02/2019;10;5
1087;Tour3;21;12/02/2019;15;5
1088;Tour4;1;12/02/2019;20;5
1089;Tour1;21;13/02/2019;5;5
1090;Tour2;21;13/02/2019;10;5
1091;Tour3;21;13/02/2019;15;5
1092;Tour4;1;13/02/2019;20;5
1093;Tour1;21;14/02/2019;5;5
1094;Tour2;21;14/02/2019;10;5
1095;Tour3;21;14/02/2019;15;5
1096;Tour4;7;14/02/2019;20;5
1097;Tour1;21;15/02/2019;5;5
1098;Tour2;21;15/02/2019;10;5
1099;Tour3;21;15/02/2019;15;5
1100;Tour4;2;15/02/2019;20;5
1101;Tour1;21;16/02/2019;5;5
1102;Tour2;21;16/02/2019;10;5
1103;Tour3;21;16/02/2019;15;5
1104;Tour4;5;16/02/2019;20;5
1105;Tour1;21;18/02/2019;5;5
1106;Tour2;21;18/02/2019;10;5
1107;Tour3;21;18/02/2019;15;5
1108;Tour4;7;18/02/2019;20;5
1109;Tour1;21;19/02/2019;5;5
1110;Tour2;21;19/02/2019;10;5
1111;Tour3;21;19/02/2019;15;5
1112;Tour4;5;19/02/2019;20;5
1113;Tour1;21;20/02/2019;5;5
1114;Tour2;21;20/02/2019;10;5
1115;Tour3;15;20/02/2019;15;5
1116;Tour4;0;20/02/2019;20;5
1117;Tour1;21;21/02/2019;5;5
1118;Tour2;21;21/02/2019;10;5
1119;Tour3;21;21/02/2019;15;5
1120;Tour4;7;21/02/2019;20;5
1121;Tour1;21;22/02/2019;5;5
1122;Tour2;21;22/02/2019;10;5
1123;Tour3;21;22/02/2019;15;5
1124;Tour4;2;22/02/2019;20;5
1125;Tour1;21;23/02/2019;5;5
1126;Tour2;21;23/02/2019;10;5
1127;Tour3;21;23/02/2019;15;5
1128;Tour4;2;23/02/2019;20;5
1129;Tour1;21;25/02/2019;5;5
1130;Tour2;21;25/02/2019;10;5
1131;Tour3;21;25/02/2019;15;5
1132;Tour4;7;25/02/2019;20;5
1133;Tour1;21;26/02/2019;5;5
1134;Tour2;21;26/02/2019;10;5
1135;Tour3;21;26/02/2019;15;5
1136;Tour4;9;26/02/2019;20;5
1137;Tour1;21;27/02/2019;5;5
1138;Tour2;21;27/02/2019;10;5
1139;Tour3;17;27/02/2019;15;5
1140;Tour4;0;27/02/2019;20;5
1141;Tour1;21;28/02/2019;5;5
1142;Tour2;21;28/02/2019;10;5
1143;Tour3;21;28/02/2019;15;5
1144;Tour4;8;28/02/2019;20;5
1145;Tour1;21;01/03/2019;5;5
1146;Tour2;21;01/03/2019;10;5
1147;Tour3;21;01/03/2019;15;5
1148;Tour4;7;01/03/2019;20;5
1149;Tour1;21;02/03/2019;5;5
1150;Tour2;21;02/03/2019;10;5
1151;Tour3;21;02/03/2019;15;5
1152;Tour4;2;02/03/2019;20;5
1153;Tour1;21;04/03/2019;5;5
1154;Tour2;21;04/03/2019;10;5
1155;Tour3;21;04/03/2019;15;5
1156;Tour4;7;04/03/2019;20;5
1157;Tour1;21;05/03/2019;5;5
1158;Tour2;21;05/03/2019;10;5
1159;Tour3;21;05/03/2019;15;5
1160;Tour4;3;05/03/2019;20;5
1161;Tour1;21;06/03/2019;5;5
1162;Tour2;21;06/03/2019;10;5
1163;Tour3;21;06/03/2019;15;5
1164;Tour4;2;06/03/2019;20;5
1165;Tour1;21;07/03/2019;5;5
1166;Tour2;21;07/03/2019;10;5
1167;Tour3;21;07/03/2019;15;5
1168;Tour4;9;07/03/2019;20;5
1169;Tour1;21;08/03/2019;5;5
1170;Tour2;21;08/03/2019;10;5
1171;Tour3;19;08/03/2019;15;5
1172;Tour4;0;08/03/2019;20;5
1173;Tour1;21;09/03/2019;5;5
1174;Tour2;21;09/03/2019;10;5
1175;Tour3;21;09/03/2019;15;5
1176;Tour4;2;09/03/2019;20;5
1177;Tour1;21;11/03/2019;5;5
1178;Tour2;21;11/03/2019;10;5
1179;Tour3;21;11/03/2019;15;5
1180;Tour4;12;11/03/2019;20;5
1181;Tour1;21;12/03/2019;5;5
1182;Tour2;21;12/03/2019;10;5
1183;Tour3;21;12/03/2019;15;5
1184;Tour4;2;12/03/2019;20;5
1185;Tour1;21;13/03/2019;5;5
1186;Tour2;21;13/03/2019;10;5
1187;Tour3;18;13/03/2019;15;5
1188;Tour4;9;13/03/2019;20;5
1189;Tour1;21;14/03/2019;5;5
1190;Tour2;21;14/03/2019;10;5
1191;Tour3;21;14/03/2019;15;5
1192;Tour4;0;14/03/2019;20;5
1193;Tour1;21;15/03/2019;5;5
1194;Tour2;21;15/03/2019;10;5
1195;Tour3;19;15/03/2019;15;5
1196;Tour4;0;15/03/2019;20;5
1197;Tour1;21;16/03/2019;5;5
1198;Tour2;21;16/03/2019;10;5
1199;Tour3;19;16/03/2019;15;5
1200;Tour4;0;16/03/2019;20;5
1201;Tour1;21;18/03/2019;5;5
1202;Tour2;21;18/03/2019;10;5
1203;Tour3;21;18/03/2019;15;5
1204;Tour4;5;18/03/2019;20;5
1205;Tour1;21;19/03/2019;5;5
1206;Tour2;21;19/03/2019;10;5
1207;Tour3;21;19/03/2019;15;5
1208;Tour4;7;19/03/2019;20;5
1209;Tour1;21;20/03/2019;5;5
1210;Tour2;21;20/03/2019;10;5
1211;Tour3;21;20/03/2019;15;5
1212;Tour4;1;20/03/2019;20;5
1213;Tour1;21;21/03/2019;5;5
1214;Tour2;21;21/03/2019;10;5
1215;Tour3;21;21/03/2019;15;5
1216;Tour4;2;21/03/2019;20;5
1217;Tour1;21;22/03/2019;5;5
1218;Tour2;21;22/03/2019;10;5
1219;Tour3;21;22/03/2019;15;5
1220;Tour4;3;22/03/2019;20;5
1221;Tour1;21;23/03/2019;5;5
1222;Tour2;21;23/03/2019;10;5
1223;Tour3;21;23/03/2019;15;5
1224;Tour4;7;23/03/2019;20;5
1225;Tour1;21;25/03/2019;5;5
1226;Tour2;21;25/03/2019;10;5
1227;Tour3;21;25/03/2019;15;5
1228;Tour4;6;25/03/2019;20;5
1229;Tour1;21;26/03/2019;5;5
1230;Tour2;21;26/03/2019;10;5
1231;Tour3;21;26/03/2019;15;5
1232;Tour4;5;26/03/2019;20;5
1233;Tour1;21;27/03/2019;5;5
1234;Tour2;21;27/03/2019;10;5
1235;Tour3;21;27/03/2019;15;5
1236;Tour4;3;27/03/2019;20;5
1237;Tour1;21;28/03/2019;5;5
1238;Tour2;21;28/03/2019;10;5
1239;Tour3;21;28/03/2019;15;5
1240;Tour4;10;28/03/2019;20;5
1241;Tour1;21;29/03/2019;5;5
1242;Tour2;21;29/03/2019;10;5
1243;Tour3;21;29/03/2019;15;5
1244;Tour4;4;29/03/2019;20;5
1245;Tour1;21;30/03/2019;5;5
1246;Tour2;21;30/03/2019;10;5
1247;Tour3;21;30/03/2019;15;5
1248;Tour4;1;30/03/2019;20;5
1249;Tour1;21;01/04/2019;5;5
1250;Tour2;21;01/04/2019;10;5
1251;Tour3;21;01/04/2019;15;5
1252;Tour4;12;01/04/2019;20;5
1253;Tour1;21;02/04/2019;5;5
1254;Tour2;21;02/04/2019;10;5
1255;Tour3;20;02/04/2019;15;5
1256;Tour4;0;02/04/2019;20;5
1257;Tour1;21;03/04/2019;5;5
1258;Tour2;21;03/04/2019;10;5
1259;Tour3;20;03/04/2019;15;5
1260;Tour4;0;03/04/2019;20;5
1261;Tour1;21;04/04/2019;5;5
1262;Tour2;21;04/04/2019;10;5
1263;Tour3;21;04/04/2019;15;5
1264;Tour4;9;04/04/2019;20;5
1265;Tour1;21;05/04/2019;5;5
1266;Tour2;21;05/04/2019;10;5
1267;Tour3;21;05/04/2019;15;5
1268;Tour4;0;05/04/2019;20;5
1269;Tour1;21;06/04/2019;5;5
1270;Tour2;21;06/04/2019;10;5
1271;Tour3;21;06/04/2019;15;5
1272;Tour4;5;06/04/2019;20;5
1273;Tour1;21;08/04/2019;5;5
1274;Tour2;21;08/04/2019;10;5
1275;Tour3;21;08/04/2019;15;5
1276;Tour4;11;08/04/2019;20;5
1277;Tour1;21;09/04/2019;5;5
1278;Tour2;21;09/04/2019;10;5
1279;Tour3;21;09/04/2019;15;5
1280;Tour4;6;09/04/2019;20;5
1281;Tour1;21;10/04/2019;5;5
1282;Tour2;21;10/04/2019;10;5
1283;Tour3;21;10/04/2019;15;5
1284;Tour4;3;10/04/2019;20;5
1285;Tour1;21;11/04/2019;5;5
1286;Tour2;21;11/04/2019;10;5
1287;Tour3;21;11/04/2019;15;5
1288;Tour4;9;11/04/2019;20;5
1289;Tour1;21;12/04/2019;5;5
1290;Tour2;21;12/04/2019;10;5
1291;Tour3;21;12/04/2019;15;5
1292;Tour4;0;12/04/2019;20;5
1293;Tour1;21;13/04/2019;5;5
1294;Tour2;21;13/04/2019;10;5
1295;Tour3;21;13/04/2019;15;5
1296;Tour4;4;13/04/2019;20;5
1297;Tour1;21;15/04/2019;5;5
1298;Tour2;21;15/04/2019;10;5
1299;Tour3;21;15/04/2019;15;5
1300;Tour4;12;15/04/2019;20;5
1301;Tour1;21;16/04/2019;5;5
1302;Tour2;21;16/04/2019;10;5
1303;Tour3;21;16/04/2019;15;5
1304;Tour4;5;16/04/2019;20;5
1305;Tour1;21;17/04/2019;5;5
1306;Tour2;21;17/04/2019;10;5
1307;Tour3;20;17/04/2019;15;5
1308;Tour4;0;17/04/2019;20;5
1309;Tour1;21;18/04/2019;5;5
1310;Tour2;21;18/04/2019;10;5
1311;Tour3;21;18/04/2019;15;5
1312;Tour4;11;18/04/2019;20;5
1313;Tour1;21;19/04/2019;5;5
1314;Tour2;21;19/04/2019;10;5
1315;Tour3;21;19/04/2019;15;5
1316;Tour4;8;19/04/2019;20;5
1317;Tour1;21;20/04/2019;5;5
1318;Tour2;21;20/04/2019;10;5
1319;Tour3;21;20/04/2019;15;5
1320;Tour4;7;20/04/2019;20;5
1321;Tour1;21;22/04/2019;5;5
1322;Tour2;21;22/04/2019;10;5
1323;Tour3;21;22/04/2019;15;5
1324;Tour4;13;22/04/2019;20;5
1325;Tour1;21;23/04/2019;5;5
1326;Tour2;21;23/04/2019;10;5
1327;Tour3;21;23/04/2019;15;5
1328;Tour4;7;23/04/2019;20;5
1329;Tour1;21;24/04/2019;5;5
1330;Tour2;21;24/04/2019;10;5
1331;Tour3;21;24/04/2019;15;5
1332;Tour4;2;24/04/2019;20;5
1333;Tour1;21;25/04/2019;5;5
1334;Tour2;21;25/04/2019;10;5
1335;Tour3;21;25/04/2019;15;5
1336;Tour4;9;25/04/2019;20;5
1337;Tour1;21;26/04/2019;5;5
1338;Tour2;21;26/04/2019;10;5
1339;Tour3;21;26/04/2019;15;5
1340;Tour4;5;26/04/2019;20;5
1341;Tour1;21;27/04/2019;5;5
1342;Tour2;21;27/04/2019;10;5
1343;Tour3;21;27/04/2019;15;5
1344;Tour4;6;27/04/2019;20;5
1345;Tour1;21;29/04/2019;5;5
1346;Tour2;21;29/04/2019;10;5
1347;Tour3;21;29/04/2019;15;5
1348;Tour4;11;29/04/2019;20;5
1349;Tour1;21;30/04/2019;5;5
1350;Tour2;21;30/04/2019;10;5
1351;Tour3;21;30/04/2019;15;5
1352;Tour4;3;30/04/2019;20;5
1353;Tour1;21;01/05/2019;5;5
1354;Tour2;21;01/05/2019;10;5
1355;Tour3;21;01/05/2019;15;5
1356;Tour4;6;01/05/2019;20;5
1357;Tour1;21;02/05/2019;5;5
1358;Tour2;21;02/05/2019;10;5
1359;Tour3;21;02/05/2019;15;5
1360;Tour4;6;02/05/2019;20;5
1361;Tour1;21;03/05/2019;5;5
1362;Tour2;21;03/05/2019;10;5
1363;Tour3;21;03/05/2019;15;5
1364;Tour4;6;03/05/2019;20;5
1365;Tour1;21;04/05/2019;5;5
1366;Tour2;21;04/05/2019;10;5
1367;Tour3;21;04/05/2019;15;5
1368;Tour4;3;04/05/2019;20;5
1369;Tour1;21;06/05/2019;5;5
1370;Tour2;21;06/05/2019;10;5
1371;Tour3;21;06/05/2019;15;5
1372;Tour4;11;06/05/2019;20;5
1373;Tour1;21;07/05/2019;5;5
1374;Tour2;21;07/05/2019;10;5
1375;Tour3;21;07/05/2019;15;5
1376;Tour4;5;07/05/2019;20;5
