uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:0003f1ca064546499fce5a4d8df95cad,Dv7,0.01,1.0,1030,940,1040,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:10aee3a07f0e4178b2f2b138c5ebf2af,phm:e6419abcceb44ab5a6563008a8eb13ff
dev:000a8152a17f41dd800bbf691ca49488,Dv10,0.01,1.0,0,6524,105,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:9739c5dbf4ab42519fd4203b504f5592,phm:66266df48237437988e46bd5ab3ffa74
dev:00122e52590b46a68883cd211f9fde5d,Dv1,0.01,1.0,4459,4364,4469,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:7ce360fed9f74966ad85b784c6f4e02e,phm:963a8865cb5e437e947c6c2a5361fdd7
dev:001fcc26265149968e0c2b40383a4984,Dv12,0.01,1.0,792,692,802,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:8b6c8af5c36842f792ce35de221de429,phm:db4840fb291b48e4b86af7e034c48fa1
dev:0024358de5fa4805a2b4feec0e2bc3ba,Dv10,0.01,1.0,0,4816,105,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:c458042fb5544356b1fff528f7edaff2,phm:84c73e80dea74f2fac9dc894f2933ef8
dev:003593f3553f44d2815cf740e3742002,Dv14,0.01,1.0,4729,4624,4734,R14,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:2b5011a62b3e448bb85371394a80bae2,phm:8920cc86df6748468092b7f1a53f2bf9
dev:0037c487cc7748808b7af71bb031cfdd,Dv12,0.01,1.0,1846,1756,1856,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:d920c4c11acd43549b995134d60a4f33,phm:2c9b1d1bc6aa48d49f8db6624cb713a1
dev:0039394b75364bb5b11019a823af328c,Dv4,0.01,1.0,4007,3912,4017,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:49de06de1060420fb7dea59e1c162246,phm:7a3f5c753f604a28baac7217a86078f8
dev:0040c838a7744106bbf91e2f65701d14,Dv1,0.01,1.0,7040,6940,7050,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:b551f426a93848b4968f84e9b256a202,phm:a4d92ec519cb44f792fbdb0683f69f76
dev:004c4450e7b746509f071f55d6912864,Dv5,0.01,1.0,1031,936,1041,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:9bc6531c7f7d4c33afd53796fff77171,phm:0db504f56f8b4f4ebb1e302550ab1f44
dev:00519c5a16e1443e8ecae3669c472a68,Dv11,0.01,1.0,2538,2448,2548,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:0b27de174a2d44eb99c0c90e9d6d3bc1,phm:50efc6122ae84d2ab0b7d3e46d057ae4
dev:005a5c8b89c64feda360d752a6dd1fbe,Dv11,0.01,1.0,2714,2624,2724,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e31be2f72ded43fe95fc1d21f7ad4a71,phm:fb1e9f32e64c43b7b5c7d17216263ed4
