Date,seance_effective,nb_patient,preference_matin,preference_soir,seance_theorique,seance_aleatoire,nb_seance_par_patient,duree_cycle,duree_repos,duree_seance
2020-11-15,390,195,128.0,67.0,390,0,2,1,24,5
2020-11-22,392,196,128.0,68.0,392,0,2,1,24,5
2020-11-29,383,191,128.0,63.0,382,1,2,1,24,5
2020-12-06,412,206,131.0,75.0,412,0,2,1,24,5
2020-12-13,412,206,131.0,75.0,412,0,2,1,24,5
2020-12-20,413,206,131.0,75.0,412,1,2,1,24,5
2020-12-27,410,205,130.0,75.0,410,0,2,1,24,5
2021-01-03,409,204,130.0,74.0,408,1,2,1,24,5
2021-01-10,426,213,133.0,80.0,426,0,2,1,24,5
2021-01-17,431,215,133.0,82.0,430,1,2,1,24,5
2021-01-24,428,214,133.0,81.0,428,0,2,1,24,5
2021-01-31,422,211,132.0,79.0,422,0,2,1,24,5
2021-02-07,425,212,132.0,80.0,424,1,2,1,24,5
2021-02-14,419,209,132.0,77.0,418,1,2,1,24,5
2021-02-21,426,213,133.0,80.0,426,0,2,1,24,5
2021-02-28,413,206,131.0,75.0,412,1,2,1,24,5
2021-03-07,434,217,134.0,83.0,434,0,2,1,24,5
2021-03-14,424,212,132.0,80.0,424,0,2,1,24,5
2021-03-21,419,209,132.0,77.0,418,1,2,1,24,5
2021-03-28,423,211,132.0,79.0,422,1,2,1,24,5
2021-04-04,415,207,131.0,76.0,414,1,2,1,24,5
2021-04-11,407,203,130.0,73.0,406,1,2,1,24,5
2021-04-18,411,205,131.0,74.0,410,1,2,1,24,5
2021-04-25,412,206,131.0,75.0,412,0,2,1,24,5
2021-05-02,404,202,130.0,72.0,404,0,2,1,24,5
2021-05-09,398,199,129.0,70.0,398,0,2,1,24,5
2021-05-16,403,201,130.0,71.0,402,1,2,1,24,5
2021-05-23,398,199,129.0,70.0,398,0,2,1,24,5
