uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:8af8b8b65eae49ee99d30de1689abefe,Dv1,0.01,1.0,711,616,721,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:bc00157b0e15402c8310d8da438a2ef6,phm:ee9d98f969414316b94bc42719b8d39a
dev:8afecd172977410eb5c1b666a16ae192,Dv9,0.01,1.0,2754,2664,2764,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:2b1a3e935deb49128f3b2cee2ee80f04,phm:a393cb20050c487bb8d584de04766b5f
dev:8b0a2d7a3b7e4666a8219fd518683aee,Dv10,0.01,1.0,0,3452,95,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:21b7530789b84de485e65360bcca11e6,phm:75aaf209907a4f2e8472bb6645a32802
dev:8b0e3617edc94ba4b1fa686fc99c7bc7,Dv10,0.01,1.0,0,4092,80,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:8504c72bcd6e4a5ba4ab48603e72dd6b,phm:c2a3c67d3bc143e8816961574400d02d
dev:8b1318145c834f77922e5103a501644a,Dv9,0.01,1.0,4443,4348,4453,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:53f96fefb86f4be28955049830fea21b,phm:f394bf3696644bd2bba8ac6621c3db14
dev:8b1d628fcfdd44b5939af21e612562a3,Dv3,0.01,1.0,1658,1568,1668,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:dc0fac7127d8483684a7cc08492e12f2,phm:bb6d0f376970438892dcb1a0ec6df492
dev:8b244260990e407fad46d54fc2c4c7a9,Dv7,0.01,1.0,400,300,405,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:ebbb18e00a9545269dfbb8409d85d34c,phm:095b3e6696e04080a49309619bb238e6
dev:8b31c6936d774ba5995591838b90474c,Dv10,0.01,1.0,0,2108,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:274506adaa32423aa3f68202074730a1,phm:599413ebcd2f44d494ee2b8713821b4c
dev:8b345047a4c146778cf037acef0cadfb,Dv14,0.01,1.0,4002,3912,4012,R14,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:03e2bcd09612413bada2352fcb85793c,phm:287024026b1f4bf4b18e20b8f96667d1
dev:8b39a4e2dfb04278933318cdb0f5481f,Dv3,0.01,1.0,2146,2056,2156,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:25c354f02a074b589dd1cecf82fac21b,phm:5c886be58537476fb36cb109356d0839
dev:8b44c694c17444368f438f0a4efb03f5,Dv3,0.01,1.0,4459,4364,4469,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:aa3b2111df9044778c5f007e84aad390,phm:5a660f8a1e81477db4a7ccf6c271b926
dev:8b5d195f04a542f98a6a4c6493e5d2e3,Dv15,0.01,1.0,4764,4664,4774,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:1e5dc3ebc4024069944945556a8163cf,phm:ed4cf97005cd43f79cee109a42635188
dev:8b62631714d24ebaa18c0769f036805f,Dv7,0.01,1.0,1555,1460,1565,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:194d1d4a39a04c4b814330b22727aa03,phm:b01f5ae8f5d549419742d33ee0a41ac9
dev:8b6575e8ed8841c484068201e71537f8,Dv15,0.01,1.0,4595,4500,4605,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:9c283a522c174cb2acb3ad7bf5a70324,phm:bea14dc5ffd1435fadc45e249caf01a9
dev:8b712002eee648ae9cb0b8bb133a388d,Dv2,0.01,1.0,4456,4356,4461,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:8c5c3b97517d460cb6108b8c63c2ce6d,phm:a5b8890402ac49f5b94509a57be02348
dev:8b7262922f25436692634d6307159828,Dv13,0.01,1.0,1911,1816,1921,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:76e08ee01c3548aa9f6b21e5e0a56f04,phm:d53500e5f17a40d0802da7af45468493
dev:8b7625f3cf9d4411ae21652e9092470a,Dv12,0.01,1.0,2754,2664,2764,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:2b1a3e935deb49128f3b2cee2ee80f04,phm:a393cb20050c487bb8d584de04766b5f
dev:8b76d13b7e9b429ea6063b2edf339463,Dv15,0.01,1.0,2223,2128,2233,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:a82cd23a86544930a9a2d23df4e61184,phm:fb810d5ed35549ce9c0965ab3a7eb25c
dev:8b7702a7f6eb4c759bf4eb238f7beb9c,Dv4,0.01,1.0,4780,4680,4790,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:db95929e92bc4470a71f57f26ebed45f,phm:ae7588d3ecb64c5cb6c6d43dd3856c96
dev:8b7c5942cb494e499f71a32d062e6155,Dv6,0.01,1.0,5634,5444,5654,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e54209ba0f6a4a30ad9e4f456a07dc2f,phm:524153f039694c58888f6b08c8dce6d2
