2024-12-29 06:20:43,338 - INFO - at 0:: CustomerAgent(mo007) create task: ([252.0, 253.0], 0) for (mo007, 2, Comp2)
2024-12-29 06:20:43,341 - INFO - at 0:: CustomerAgent(mo007) create task: ([253.0, 261.0], 0) for (mo007, 3, Comp2)
2024-12-29 06:20:43,341 - INFO - at 0:: CustomerAgent(mo007) create task: ([261.0, 265.0], 0) for (mo007, 4, Comp1)
2024-12-29 06:20:43,342 - INFO - at 0:: CustomerAgent(mo007) create task: ([265.0, 272.0], 0) for (mo007, 5, Comp2)
2024-12-29 06:20:43,342 - INFO - at 0:: CustomerAgent(mo007) create task: ([272.0, 276.0], 0) for (mo007, 6, Comp2)
2024-12-29 06:20:43,342 - INFO - at 0:: CustomerAgent(mo007) create task: ([276.0, 282.0], 0) for (mo007, 7, Comp3)
2024-12-29 06:20:43,343 - INFO - at 0:: CustomerAgent(mo008) create task: ([239, 240.0], 0) for (mo008, 0, Comp1)
2024-12-29 06:20:43,343 - INFO - at 0:: CustomerAgent(mo008) create task: ([240.0, 249.0], 0) for (mo008, 1, Comp3)
2024-12-29 06:20:43,343 - INFO - at 0:: CustomerAgent(mo008) create task: ([249.0, 252.0], 0) for (mo008, 2, Comp1)
2024-12-29 06:20:43,344 - INFO - at 0:: CustomerAgent(mo008) create task: ([252.0, 254.0], 0) for (mo008, 3, Comp2)
2024-12-29 06:20:43,344 - INFO - at 0:: CustomerAgent(mo008) create task: ([254.0, 262.0], 0) for (mo008, 4, Comp3)
2024-12-29 06:20:43,345 - INFO - at 0:: CustomerAgent(mo008) create task: ([262.0, 268.0], 0) for (mo008, 5, Comp3)
2024-12-29 06:20:43,345 - INFO - at 0:: CustomerAgent(mo008) create task: ([268.0, 277.0], 0) for (mo008, 6, Comp3)
2024-12-29 06:20:43,345 - INFO - at 0:: CustomerAgent(mo009) create task: ([195, 203.0], 0) for (mo009, 0, Comp3)
2024-12-29 06:20:43,346 - INFO - at 0:: CustomerAgent(mo009) create task: ([203.0, 206.0], 0) for (mo009, 1, Comp3)
2024-12-29 06:20:43,346 - INFO - at 0:: CustomerAgent(mo009) create task: ([206.0, 214.0], 0) for (mo009, 2, Comp3)
2024-12-29 06:20:43,347 - INFO - at 0:: CustomerAgent(mo009) create task: ([214.0, 215.0], 0) for (mo009, 3, Comp1)
2024-12-29 06:20:43,347 - INFO - at 0:: CustomerAgent(mo009) create task: ([215.0, 222.0], 0) for (mo009, 4, Comp1)
2024-12-29 06:20:43,347 - INFO - at 0:: CustomerAgent(mo009) create task: ([222.0, 231.0], 0) for (mo009, 5, Comp2)
2024-12-29 06:20:43,348 - INFO - at 0:: CustomerAgent(mo009) create task: ([231.0, 235.0], 0) for (mo009, 6, Comp3)
2024-12-29 06:20:43,351 - INFO - at 0:: CustomerAgent(mo010) create task: ([201, 205.0], 0) for (mo010, 0, Comp3)
2024-12-29 06:20:43,351 - INFO - at 0:: CustomerAgent(mo010) create task: ([205.0, 209.0], 0) for (mo010, 1, Comp1)
2024-12-29 06:20:43,352 - INFO - at 0:: CustomerAgent(mo010) create task: ([209.0, 216.0], 0) for (mo010, 2, Comp2)
2024-12-29 06:20:43,352 - INFO - at 0:: CustomerAgent(mo010) create task: ([216.0, 218.0], 0) for (mo010, 3, Comp1)
2024-12-29 06:20:43,353 - INFO - at 0:: CustomerAgent(mo010) create task: ([218.0, 227.0], 0) for (mo010, 4, Comp2)
2024-12-29 06:20:43,353 - INFO - at 0:: CustomerAgent(mo011) create task: ([501, 509.0], 0) for (mo011, 0, Comp1)
2024-12-29 06:20:43,353 - INFO - at 0:: CustomerAgent(mo011) create task: ([509.0, 514.0], 0) for (mo011, 1, Comp1)
2024-12-29 06:20:43,354 - INFO - at 0:: CustomerAgent(mo011) create task: ([514.0, 518.0], 0) for (mo011, 2, Comp3)
2024-12-29 06:20:43,354 - INFO - at 0:: CustomerAgent(mo011) create task: ([518.0, 527.0], 0) for (mo011, 3, Comp1)
2024-12-29 06:20:43,355 - INFO - at 0:: CustomerAgent(mo011) create task: ([527.0, 531.0], 0) for (mo011, 4, Comp2)
