2024-12-29 06:10:50,944 - INFO - at 0:: CustomerAgent(mo007) create task: ([110.0, 112.0], 0) for (mo007, 4, Comp2)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([112.0, 120.0], 0) for (mo007, 5, Comp3)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([120.0, 127.0], 0) for (mo007, 6, Comp2)
2024-12-29 06:10:50,945 - INFO - at 0:: CustomerAgent(mo007) create task: ([127.0, 130.0], 0) for (mo007, 7, Comp2)
2024-12-29 06:10:50,946 - INFO - at 0:: CustomerAgent(mo008) create task: ([242, 249.0], 0) for (mo008, 0, Comp2)
2024-12-29 06:10:50,946 - INFO - at 0:: CustomerAgent(mo008) create task: ([249.0, 252.0], 0) for (mo008, 1, Comp1)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([252.0, 261.0], 0) for (mo008, 2, Comp3)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([261.0, 266.0], 0) for (mo008, 3, Comp1)
2024-12-29 06:10:50,947 - INFO - at 0:: CustomerAgent(mo008) create task: ([266.0, 270.0], 0) for (mo008, 4, Comp2)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([270.0, 271.0], 0) for (mo008, 5, Comp3)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([271.0, 277.0], 0) for (mo008, 6, Comp1)
2024-12-29 06:10:50,948 - INFO - at 0:: CustomerAgent(mo008) create task: ([277.0, 284.0], 0) for (mo008, 7, Comp2)
2024-12-29 06:10:50,949 - INFO - at 0:: CustomerAgent(mo009) create task: ([342, 350.0], 0) for (mo009, 0, Comp1)
2024-12-29 06:10:50,949 - INFO - at 0:: CustomerAgent(mo009) create task: ([350.0, 351.0], 0) for (mo009, 1, Comp1)
2024-12-29 06:10:50,950 - INFO - at 0:: CustomerAgent(mo009) create task: ([351.0, 352.0], 0) for (mo009, 2, Comp3)
2024-12-29 06:10:50,951 - INFO - at 0:: CustomerAgent(mo009) create task: ([352.0, 358.0], 0) for (mo009, 3, Comp2)
2024-12-29 06:10:50,952 - INFO - at 0:: CustomerAgent(mo009) create task: ([358.0, 365.0], 0) for (mo009, 4, Comp1)
2024-12-29 06:10:50,953 - INFO - at 0:: CustomerAgent(mo009) create task: ([365.0, 369.0], 0) for (mo009, 5, Comp3)
2024-12-29 06:10:50,954 - INFO - at 0:: CustomerAgent(mo010) create task: ([357, 364.0], 0) for (mo010, 0, Comp1)
2024-12-29 06:10:50,954 - INFO - at 0:: CustomerAgent(mo010) create task: ([364.0, 371.0], 0) for (mo010, 1, Comp3)
2024-12-29 06:10:50,955 - INFO - at 0:: CustomerAgent(mo010) create task: ([371.0, 375.0], 0) for (mo010, 2, Comp1)
2024-12-29 06:10:50,957 - INFO - at 0:: CustomerAgent(mo010) create task: ([375.0, 376.0], 0) for (mo010, 3, Comp1)
2024-12-29 06:10:50,958 - INFO - at 0:: CustomerAgent(mo010) create task: ([376.0, 381.0], 0) for (mo010, 4, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo010) create task: ([381.0, 382.0], 0) for (mo010, 5, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([157, 161.0], 0) for (mo011, 0, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([161.0, 166.0], 0) for (mo011, 1, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([166.0, 173.0], 0) for (mo011, 2, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([173.0, 175.0], 0) for (mo011, 3, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([175.0, 179.0], 0) for (mo011, 4, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([179.0, 180.0], 0) for (mo011, 5, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo011) create task: ([180.0, 187.0], 0) for (mo011, 6, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([222, 227.0], 0) for (mo012, 0, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([227.0, 228.0], 0) for (mo012, 1, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([228.0, 231.0], 0) for (mo012, 2, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([231.0, 240.0], 0) for (mo012, 3, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([240.0, 247.0], 0) for (mo012, 4, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([247.0, 250.0], 0) for (mo012, 5, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo012) create task: ([250.0, 256.0], 0) for (mo012, 6, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([425, 433.0], 0) for (mo013, 0, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([433.0, 442.0], 0) for (mo013, 1, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([442.0, 447.0], 0) for (mo013, 2, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([447.0, 449.0], 0) for (mo013, 3, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([449.0, 456.0], 0) for (mo013, 4, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([456.0, 460.0], 0) for (mo013, 5, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo013) create task: ([460.0, 464.0], 0) for (mo013, 6, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([494, 495.0], 0) for (mo014, 0, Comp2)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([495.0, 499.0], 0) for (mo014, 1, Comp3)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([499.0, 504.0], 0) for (mo014, 2, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([504.0, 511.0], 0) for (mo014, 3, Comp1)
2024-12-29 06:10:50,959 - INFO - at 0:: CustomerAgent(mo014) create task: ([511.0, 515.0], 0) for (mo014, 4, Comp3)
