2024-12-29 06:14:55,046 - INFO - at 0:: CustomerAgent(mo007) create task: ([28.0, 29.0], 0) for (mo007, 4, Comp2)
2024-12-29 06:14:55,047 - INFO - at 0:: CustomerAgent(mo008) create task: ([76, 77.0], 0) for (mo008, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([77.0, 82.0], 0) for (mo008, 1, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([82.0, 83.0], 0) for (mo008, 2, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([83.0, 87.0], 0) for (mo008, 3, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([87.0, 93.0], 0) for (mo008, 4, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([93.0, 101.0], 0) for (mo008, 5, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([101.0, 109.0], 0) for (mo008, 6, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([109.0, 116.0], 0) for (mo008, 7, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo008) create task: ([116.0, 120.0], 0) for (mo008, 8, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([450, 457.0], 0) for (mo009, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([457.0, 459.0], 0) for (mo009, 1, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([459.0, 467.0], 0) for (mo009, 2, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([467.0, 473.0], 0) for (mo009, 3, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([473.0, 475.0], 0) for (mo009, 4, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo009) create task: ([475.0, 476.0], 0) for (mo009, 5, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo010) create task: ([363, 369.0], 0) for (mo010, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo010) create task: ([369.0, 370.0], 0) for (mo010, 1, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo010) create task: ([370.0, 377.0], 0) for (mo010, 2, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo010) create task: ([377.0, 386.0], 0) for (mo010, 3, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo010) create task: ([386.0, 391.0], 0) for (mo010, 4, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([244, 250.0], 0) for (mo011, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([250.0, 256.0], 0) for (mo011, 1, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([256.0, 258.0], 0) for (mo011, 2, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([258.0, 260.0], 0) for (mo011, 3, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([260.0, 267.0], 0) for (mo011, 4, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([267.0, 271.0], 0) for (mo011, 5, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([271.0, 280.0], 0) for (mo011, 6, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo011) create task: ([280.0, 281.0], 0) for (mo011, 7, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([236, 245.0], 0) for (mo012, 0, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([245.0, 249.0], 0) for (mo012, 1, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([249.0, 258.0], 0) for (mo012, 2, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([258.0, 267.0], 0) for (mo012, 3, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([267.0, 271.0], 0) for (mo012, 4, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([271.0, 276.0], 0) for (mo012, 5, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([276.0, 281.0], 0) for (mo012, 6, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo012) create task: ([281.0, 288.0], 0) for (mo012, 7, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([242, 248.0], 0) for (mo013, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([248.0, 250.0], 0) for (mo013, 1, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([250.0, 255.0], 0) for (mo013, 2, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([255.0, 259.0], 0) for (mo013, 3, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([259.0, 261.0], 0) for (mo013, 4, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo013) create task: ([261.0, 270.0], 0) for (mo013, 5, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([418, 423.0], 0) for (mo014, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([423.0, 432.0], 0) for (mo014, 1, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([432.0, 435.0], 0) for (mo014, 2, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([435.0, 442.0], 0) for (mo014, 3, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([442.0, 443.0], 0) for (mo014, 4, Comp3)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo014) create task: ([443.0, 450.0], 0) for (mo014, 5, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo015) create task: ([279, 285.0], 0) for (mo015, 0, Comp2)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo015) create task: ([285.0, 293.0], 0) for (mo015, 1, Comp1)
2024-12-29 06:14:55,048 - INFO - at 0:: CustomerAgent(mo015) create task: ([293.0, 297.0], 0) for (mo015, 2, Comp3)
2024-12-29 06:14:55,063 - INFO - at 0:: CustomerAgent(mo015) create task: ([297.0, 298.0], 0) for (mo015, 3, Comp1)
2024-12-29 06:14:55,064 - INFO - at 0:: CustomerAgent(mo015) create task: ([298.0, 305.0], 0) for (mo015, 4, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo015) create task: ([305.0, 308.0], 0) for (mo015, 5, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo015) create task: ([308.0, 316.0], 0) for (mo015, 6, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo015) create task: ([316.0, 319.0], 0) for (mo015, 7, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([227, 236.0], 0) for (mo016, 0, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([236.0, 243.0], 0) for (mo016, 1, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([243.0, 249.0], 0) for (mo016, 2, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([249.0, 254.0], 0) for (mo016, 3, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([254.0, 261.0], 0) for (mo016, 4, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([261.0, 263.0], 0) for (mo016, 5, Comp2)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([263.0, 265.0], 0) for (mo016, 6, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([265.0, 267.0], 0) for (mo016, 7, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo016) create task: ([267.0, 272.0], 0) for (mo016, 8, Comp2)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([433, 440.0], 0) for (mo017, 0, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([440.0, 449.0], 0) for (mo017, 1, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([449.0, 450.0], 0) for (mo017, 2, Comp2)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([450.0, 453.0], 0) for (mo017, 3, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([453.0, 459.0], 0) for (mo017, 4, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo017) create task: ([459.0, 461.0], 0) for (mo017, 5, Comp3)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo018) create task: ([333, 339.0], 0) for (mo018, 0, Comp2)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo018) create task: ([339.0, 342.0], 0) for (mo018, 1, Comp1)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo018) create task: ([342.0, 351.0], 0) for (mo018, 2, Comp2)
2024-12-29 06:14:55,065 - INFO - at 0:: CustomerAgent(mo018) create task: ([351.0, 357.0], 0) for (mo018, 3, Comp1)
